,Keyword_1,frequency,Keyword_2,degreee
57,social selfishness,1,hybrid networks,3
58,delay/disruption-tolerant networks,1,wifi,3
59,delay tolerant networks (dtns),1,delay-tolerant networks,3
60,node selfishness,1,dark matter,3
61,performance,1,astronomical databases: miscellaneous,3
62,bsm higgs boson,1,x-rays:,3
63,calculation,1,vehicular delay-tolerant networks,3
64,hadronic calibration,1,delay tolerant networks (dtns),3
65,detector,1,node selfishness,3
66,automatic meter reading (amr),1,performance,3
67,smart meters,1,vanets,3
68,wireless communications,1,vdtns,3
69,vanets,1,its,3
70,vdtns,1,internet of underwater things,3
71,its,1,architecture,3
72,standards,1,applications,3
73,disruption,1,research,3
74,irtf,1,file sharing,3
75,dtnrg,1,m2mshare,3
76,interplanetary internet,1,mobile,3
77,deep space network,1,social-aware network,3
78,capacity limits,1,sparse vehicular networks,3
79,decay,1,trajectory,3
80,resources,1,social network,3
81,interference,1,routing protocol,3
82,internet of underwater things,1,bio-inspired optimization,3
83,architecture,1,delay,3
84,applications,1,geocast,3
85,research,1,trajectory-based,3
86,icesat-2,1,stranger,3
87,land ice,1,forwarding mechanism,3
88,sea ice,1,social relationship,3
89,vegetation,1,delay tolerant,3
90,climate change,1,anisotropic radiation,3
91,satellite,1,directivity,3
92,beaconing control,1,wireless multihop,3
93,activation,1,evolutionary game,3
94,new generation network,1,routing attack,3
95,id/locator split,1,outage,3
96,heterogeneity inclusion,1,rician fading,3
97,intermittent connectivity wireless networks (icwns),1,reflections,3
98,network coding,1,sparse network,3
99,vehicular ad hoc networks,1,adaptive routing,3
100,biological intelligence,1,multiple dimensions,3
101,named data networking,1,multi-cast,3
102,ip,1,social aware,3
103,information centric networking,1,x-rays: general,2
104,icn,1,higgs boson,2
105,file sharing,1,spin,2
106,m2mshare,1,parity,2
107,mobile,1,underwater acoustic communication,2
108,social-aware network,1,underwater sensor networks,2
109,"resilient, survivable, disruption-tolerant future internet",1,acoustic,2
110,sparse vehicular networks,1,incentive scheme,2
111,trajectory,1,social selfishness,2
112,social network,1,calculation,2
113,routing protocol,1,hadronic calibration,2
114,bio-inspired optimization,1,detector,2
115,delay,1,automatic meter reading (amr),2
116,intermittently connected wireless networks,1,smart meters,2
117,packet forwarding,1,wireless communications,2
118,node,1,interplanetary internet,2
119,geocast,1,deep space network,2
120,trajectory-based,1,beaconing control,2
121,energy consumption,1,new generation network,2
122,store-carry and forward relaying,1,id/locator split,2
123,delay tolerance,1,heterogeneity inclusion,2
124,incentive compatibility,1,vehicular ad hoc networks,2
125,optimal,1,biological intelligence,2
126,stranger,1,intermittently connected wireless networks,2
127,forwarding mechanism,1,packet forwarding,2
128,social relationship,1,node,2
129,delay tolerant,1,energy consumption,2
130,inter contact time,1,store-carry and forward relaying,2
131,clustering,1,delay tolerance,2
132,hotspot area,1,incentive compatibility,2
133,aging,1,optimal,2
134,frailty,1,cooperation,2
135,mortality,1,data dissemination service,2
136,complex network,1,node cooperation,2
137,computational model,1,optimal stopping,2
138,anisotropic radiation,1,traffic scheduling,2
139,directivity,1,heterogeneous networks,2
140,wireless multihop,1,message delivery,2
141,cooperation,1,mobile ad hoc network,2
142,data dissemination service,1,vehicular ad hoc network,2
143,evolutionary game,1,computational modeling,1
144,routing attack,1,delay/disruption tolerant networks,1
145,outage,1,intermittently connected networks,1
146,rician fading,1,large detector systems for particle and astroparticle physics,1
147,reflections,1,large,1
148,node cooperation,1,delay- and disruption-tolerant networking (dtn),1
149,optimal stopping,1,performance enhancing,1
150,traffic scheduling,1,exotics,1
151,mobile communication systems,1,energy-efficient forwarding,1
152,privacy,1,future internet architecture survey,1
153,heterogeneous networks,1,future internet design (find),1
154,message delivery,1,delay/disruption-tolerant networks,1
155,mobile ad hoc network,1,bsm higgs boson,1
156,vehicular ad hoc network,1,intermittent connectivity wireless networks (icwns),1
157,sparse network,1,network coding,1
158,adaptive routing,1,mobile communication systems,1
159,distribution,1,privacy,1
160,dtn,1,distribution,1
161,multiple dimensions,1,dtn,1
162,multi-cast,1,,
163,social aware,1,,
